"customerid","name","totalpremiumpaid","premiumrank"
158,"Michael Miller","15329.89","1"
58,"David Brown","14195.61","2"
95,"John Brown","11359.07","3"
162,"Michael Williams","11211.34","4"
75,"Chris Brown","9683.42","5"
42,"Laura Miller","9649.31","6"
72,"Anna Williams","9602.77","7"
141,"Sarah Garcia","9129.69","8"
9,"Chris Miller","8872.32","9"
66,"Anna Johnson","8653.12","10"
81,"David Brown","8277.90","11"
80,"Anna Williams","7505.37","12"
19,"Chris Brown","7295.07","13"
25,"John Miller","7236.29","14"
172,"David Jones","6435.73","15"
118,"Laura Smith","6409.95","16"
11,"Sarah Davis","6402.62","17"
189,"Michael Johnson","6390.62","18"
181,"Alex Miller","6347.99","19"
195,"Jane Jones","6095.47","20"
139,"Alex Miller","6090.38","21"
137,"Anna Johnson","6084.27","22"
185,"Emily Jones","5829.91","23"
193,"David Smith","5811.22","24"
32,"Alex Rodriguez","5732.77","25"
35,"Emily Jones","5707.55","26"
165,"Laura Martinez","5549.47","27"
77,"Alex Smith","5383.78","28"
79,"Emily Rodriguez","5341.56","29"
76,"Alex Brown","5248.90","30"
29,"Chris Brown","5043.11","31"
17,"Alex Johnson","5034.50","32"
153,"David Martinez","5015.91","33"
105,"Laura Brown","4987.99","34"
36,"John Brown","4973.62","35"
148,"Jane Miller","4961.15","36"
98,"Anna Smith","4871.63","37"
157,"Michael Davis","4742.79","38"
180,"Michael Jones","4686.40","39"
55,"David Jones","4599.84","40"
43,"Michael Garcia","4587.73","41"
6,"Chris Miller","4562.72","42"
28,"John Miller","4520.70","43"
107,"John Rodriguez","4485.55","44"
178,"Jane Garcia","4465.70","45"
123,"David Davis","4367.85","46"
84,"Anna Davis","4299.65","47"
145,"Emily Smith","4282.53","48"
70,"David Jones","4215.03","49"
30,"Laura Brown","4199.31","50"
39,"Anna Martinez","4129.80","51"
164,"Emily Davis","4109.44","52"
199,"Sarah Rodriguez","4095.58","53"
170,"Jane Martinez","4081.55","54"
149,"Laura Johnson","4069.18","55"
54,"Emily Johnson","4060.63","56"
60,"Michael Rodriguez","4019.51","57"
22,"Michael Smith","4006.18","58"
132,"Jane Williams","3973.63","59"
115,"Jane Jones","3839.80","60"
175,"Anna Martinez","3813.17","61"
177,"Alex Miller","3805.98","62"
186,"Emily Jones","3786.87","63"
142,"Laura Johnson","3743.63","64"
99,"Michael Jones","3743.51","65"
130,"Sarah Miller","3735.05","66"
61,"David Williams","3702.09","67"
116,"Michael Miller","3647.43","68"
160,"Emily Brown","3644.29","69"
85,"Laura Smith","3617.65","70"
87,"David Jones","3606.41","71"
67,"Anna Williams","3580.61","72"
128,"Sarah Martinez","3532.79","73"
122,"Michael Brown","3473.93","74"
71,"Chris Garcia","3411.85","75"
146,"Anna Smith","3374.62","76"
168,"Laura Jones","3333.75","77"
114,"Alex Jones","3256.71","78"
74,"Laura Miller","3210.18","79"
13,"Sarah Rodriguez","3184.65","80"
18,"Laura Rodriguez","3158.16","81"
2,"Laura Jones","3154.14","82"
33,"Jane Williams","2951.70","83"
8,"Anna Davis","2890.41","84"
90,"Sarah Martinez","2720.74","85"
86,"Michael Smith","2708.15","86"
106,"Michael Williams","2693.63","87"
198,"Anna Rodriguez","2690.86","88"
4,"Jane Johnson","2666.31","89"
182,"Jane Rodriguez","2662.78","90"
10,"Anna Brown","2546.66","91"
126,"Laura Brown","2391.31","92"
14,"Michael Jones","2373.29","93"
119,"Anna Miller","2288.59","94"
41,"Emily Rodriguez","2125.43","95"
24,"Jane Brown","2120.48","96"
184,"Michael Davis","2102.96","97"
150,"Chris Jones","2043.28","98"
27,"Anna Garcia","1729.36","99"
155,"Michael Brown","1704.08","100"
96,"David Rodriguez","1680.51","101"
59,"Jane Davis","1647.62","102"
7,"John Miller","1632.55","103"
89,"Chris Johnson","1581.92","104"
188,"David Davis","1576.05","105"
31,"Emily Miller","1575.01","106"
82,"Emily Brown","1574.90","107"
5,"Michael Martinez","1463.68","108"
173,"Emily Rodriguez","1447.16","109"
37,"Emily Johnson","1377.94","110"
191,"Michael Williams","1288.06","111"
83,"David Martinez","1114.42","112"
94,"John Martinez","1093.74","113"
40,"Anna Martinez","1078.63","114"
129,"Michael Williams","1059.15","115"
110,"Alex Williams","930.33","116"
200,"Jane Smith","920.94","117"
93,"Anna Williams","887.19","118"
138,"Emily Johnson","790.60","119"
156,"Michael Garcia","649.96","120"
23,"Laura Rodriguez","398.24","121"
50,"David Davis","308.59","122"
136,"David Miller","292.19","123"
152,"Sarah Johnson","278.39","124"
91,"Emily Garcia","169.12","125"
190,"Anna Brown","149.13","126"
