"customerid","name","totalclaimamount"
87,"David Jones","60127.77"
29,"Chris Brown","126879.68"
70,"David Jones","8287.59"
146,"Anna Smith","71552.10"
83,"David Martinez","13032.10"
90,"Sarah Martinez","71475.72"
162,"Michael Williams","167227.67"
132,"Jane Williams","108182.24"
6,"Chris Miller","139196.26"
86,"Michael Smith","50592.91"
170,"Jane Martinez","41021.43"
36,"John Brown","22287.31"
175,"Anna Martinez","47444.61"
114,"Alex Jones","92800.20"
115,"Jane Jones","224063.50"
14,"Michael Jones","130998.20"
66,"Anna Johnson","153720.00"
158,"Michael Miller","144982.74"
156,"Michael Garcia","31390.50"
155,"Michael Brown","94277.57"
118,"Laura Smith","34877.43"
195,"Jane Jones","3801.50"
2,"Laura Jones","72566.37"
75,"Chris Brown","127231.10"
98,"Anna Smith","31057.08"
11,"Sarah Davis","55220.80"
42,"Laura Miller","17698.04"
188,"David Davis","82310.00"
152,"Sarah Johnson","35915.75"
40,"Anna Martinez","25663.64"
153,"David Martinez","117363.72"
157,"Michael Davis","22380.54"
139,"Alex Miller","127086.49"
85,"Laura Smith","47383.40"
95,"John Brown","103607.66"
19,"Chris Brown","90576.43"
160,"Emily Brown","110237.32"
25,"John Miller","66590.58"
141,"Sarah Garcia","42181.10"
94,"John Martinez","31700.51"
186,"Emily Jones","92602.48"
145,"Emily Smith","18138.92"
130,"Sarah Miller","58929.40"
165,"Laura Martinez","125632.30"
8,"Anna Davis","20792.11"
