"customerid","name","mostrecentclaimdate","mostrecentclaimamount","totalclaims","totalclaimamount"
58,"David Brown","2021-04-18","33159.45","2","55803.85"
8,"Anna Davis","2021-02-16","20792.11","1","20792.11"
116,"Michael Miller",NULL,NULL,"0",NULL
184,"Michael Davis","2021-04-27","10425.62","1","10425.62"
87,"David Jones","2021-07-13","46405.62","2","60127.77"
71,"Chris Garcia","2021-08-23","34544.26","2","35249.82"
68,"Alex Miller",NULL,NULL,"0",NULL
51,"Sarah Brown",NULL,NULL,"0",NULL
52,"Alex Johnson",NULL,NULL,"0",NULL
70,"David Jones","2021-04-04","8287.59","1","8287.59"
80,"Anna Williams","2021-11-26","23885.10","3","58893.29"
146,"Anna Smith","2021-09-10","39615.43","2","71552.10"
190,"Anna Brown","2021-07-06","32255.40","1","32255.40"
162,"Michael Williams","2021-12-11","47809.02","6","167227.67"
132,"Jane Williams","2021-06-13","41546.15","4","108182.24"
84,"Anna Davis",NULL,NULL,"0",NULL
170,"Jane Martinez","2021-01-18","41021.43","1","41021.43"
169,"Jane Johnson",NULL,NULL,"0",NULL
176,"Sarah Garcia",NULL,NULL,"0",NULL
192,"Laura Williams",NULL,NULL,"0",NULL
92,"Chris Davis",NULL,NULL,"0",NULL
101,"John Williams",NULL,NULL,"0",NULL
69,"Michael Rodriguez",NULL,NULL,"0",NULL
180,"Michael Jones","2021-10-20","39843.33","1","39843.33"
114,"Alex Jones","2021-11-20","36762.60","3","92800.20"
115,"Jane Jones","2021-12-15","49366.41","7","224063.50"
60,"Michael Rodriguez",NULL,NULL,"0",NULL
97,"Michael Martinez",NULL,NULL,"0",NULL
108,"Sarah Davis",NULL,NULL,"0",NULL
112,"Chris Rodriguez",NULL,NULL,"0",NULL
22,"Michael Smith",NULL,NULL,"0",NULL
156,"Michael Garcia","2021-12-05","31390.50","1","31390.50"
59,"Jane Davis","2021-04-13","16232.22","1","16232.22"
197,"Alex Johnson",NULL,NULL,"0",NULL
135,"Anna Williams",NULL,NULL,"0",NULL
65,"Jane Jones",NULL,NULL,"0",NULL
127,"Alex Johnson",NULL,NULL,"0",NULL
124,"John Garcia",NULL,NULL,"0",NULL
98,"Anna Smith","2021-09-23","23442.91","2","31057.08"
149,"Laura Johnson","2021-06-07","553.63","1","553.63"
173,"Emily Rodriguez","2021-09-16","15476.09","2","18408.22"
73,"Anna Martinez",NULL,NULL,"0",NULL
200,"Jane Smith","2021-10-12","44195.52","2","46876.17"
44,"Sarah Williams",NULL,NULL,"0",NULL
103,"Jane Davis",NULL,NULL,"0",NULL
11,"Sarah Davis","2021-05-18","39392.62","2","55220.80"
42,"Laura Miller","2021-06-03","17698.04","1","17698.04"
189,"Michael Johnson","2021-10-20","25259.78","2","49131.52"
161,"Laura Miller",NULL,NULL,"0",NULL
121,"John Miller",NULL,NULL,"0",NULL
117,"Anna Johnson",NULL,NULL,"0",NULL
88,"Anna Johnson",NULL,NULL,"0",NULL
82,"Emily Brown",NULL,NULL,"0",NULL
188,"David Davis","2021-11-07","42604.37","2","82310.00"
113,"David Johnson",NULL,NULL,"0",NULL
125,"Michael Williams",NULL,NULL,"0",NULL
40,"Anna Martinez","2021-12-11","25663.64","1","25663.64"
119,"Anna Miller","2021-06-20","36670.84","1","36670.84"
43,"Michael Garcia","2021-11-12","29777.63","3","52050.40"
153,"David Martinez","2021-10-11","39017.62","5","117363.72"
147,"David Smith",NULL,NULL,"0",NULL
9,"Chris Miller","2021-09-28","42784.27","4","125921.56"
196,"David Martinez",NULL,NULL,"0",NULL
120,"Anna Brown",NULL,NULL,"0",NULL
15,"Chris Rodriguez",NULL,NULL,"0",NULL
79,"Emily Rodriguez","2021-12-01","19719.72","1","19719.72"
48,"Alex Garcia",NULL,NULL,"0",NULL
26,"John Williams",NULL,NULL,"0",NULL
187,"Laura Davis",NULL,NULL,"0",NULL
85,"Laura Smith","2021-03-14","47383.40","1","47383.40"
72,"Anna Williams","2021-08-22","7990.43","1","7990.43"
95,"John Brown","2021-08-27","49159.62","3","103607.66"
57,"Michael Johnson",NULL,NULL,"0",NULL
81,"David Brown",NULL,NULL,"0",NULL
61,"David Williams",NULL,NULL,"0",NULL
19,"Chris Brown","2021-05-05","40511.58","3","90576.43"
160,"Emily Brown","2021-09-23","33873.32","4","110237.32"
77,"Alex Smith","2021-04-24","49954.99","1","49954.99"
172,"David Jones","2021-10-04","8313.44","1","8313.44"
30,"Laura Brown","2021-08-08","6645.22","1","6645.22"
21,"John Rodriguez",NULL,NULL,"0",NULL
131,"Emily Brown",NULL,NULL,"0",NULL
3,"Anna Garcia",NULL,NULL,"0",NULL
17,"Alex Johnson",NULL,NULL,"0",NULL
198,"Anna Rodriguez",NULL,NULL,"0",NULL
37,"Emily Johnson",NULL,NULL,"0",NULL
28,"John Miller","2021-08-25","13674.10","1","13674.10"
104,"John Rodriguez",NULL,NULL,"0",NULL
5,"Michael Martinez",NULL,NULL,"0",NULL
171,"Chris Jones",NULL,NULL,"0",NULL
165,"Laura Martinez","2021-12-08","46433.55","3","125632.30"
56,"Laura Martinez",NULL,NULL,"0",NULL
151,"Anna Jones",NULL,NULL,"0",NULL
91,"Emily Garcia","2021-07-18","41384.02","1","41384.02"
74,"Laura Miller","2021-03-06","33508.26","1","33508.26"
179,"Michael Miller",NULL,NULL,"0",NULL
54,"Emily Johnson","2021-02-23","37049.72","1","37049.72"
29,"Chris Brown","2021-12-28","31753.83","8","126879.68"
4,"Jane Johnson",NULL,NULL,"0",NULL
34,"Chris Garcia",NULL,NULL,"0",NULL
138,"Emily Johnson","2021-10-03","26908.25","1","26908.25"
181,"Alex Miller","2021-05-24","4384.18","1","4384.18"
96,"David Rodriguez","2021-03-21","21847.04","2","30691.45"
67,"Anna Williams",NULL,NULL,"0",NULL
83,"David Martinez","2021-04-04","13032.10","1","13032.10"
63,"Emily Brown",NULL,NULL,"0",NULL
10,"Anna Brown",NULL,NULL,"0",NULL
90,"Sarah Martinez","2021-10-22","42231.32","3","71475.72"
105,"Laura Brown",NULL,NULL,"0",NULL
35,"Emily Jones","2021-09-04","38769.55","5","109353.59"
45,"Alex Jones",NULL,NULL,"0",NULL
174,"David Smith",NULL,NULL,"0",NULL
107,"John Rodriguez",NULL,NULL,"0",NULL
6,"Chris Miller","2021-11-07","38975.08","4","139196.26"
134,"Sarah Johnson",NULL,NULL,"0",NULL
86,"Michael Smith","2021-09-14","41591.11","3","50592.91"
144,"Alex Rodriguez",NULL,NULL,"0",NULL
39,"Anna Martinez",NULL,NULL,"0",NULL
163,"John Johnson",NULL,NULL,"0",NULL
168,"Laura Jones","2021-11-16","44197.16","2","77281.16"
89,"Chris Johnson",NULL,NULL,"0",NULL
93,"Anna Williams","2021-05-05","49739.68","3","138735.52"
36,"John Brown","2021-04-03","22287.31","1","22287.31"
175,"Anna Martinez","2021-10-24","25756.75","4","47444.61"
31,"Emily Miller",NULL,NULL,"0",NULL
50,"David Davis","2021-08-01","27634.93","3","66318.06"
102,"Anna Williams",NULL,NULL,"0",NULL
167,"Jane Williams",NULL,NULL,"0",NULL
14,"Michael Jones","2021-12-05","46648.26","3","130998.20"
66,"Anna Johnson","2021-05-21","49225.98","4","153720.00"
109,"David Smith",NULL,NULL,"0",NULL
158,"Michael Miller","2021-12-12","49894.11","5","144982.74"
13,"Sarah Rodriguez",NULL,NULL,"0",NULL
155,"Michael Brown","2021-12-13","35759.69","3","94277.57"
118,"Laura Smith","2021-04-14","34877.43","1","34877.43"
133,"Michael Davis",NULL,NULL,"0",NULL
111,"Alex Davis",NULL,NULL,"0",NULL
195,"Jane Jones","2021-06-15","3801.50","1","3801.50"
2,"Laura Jones","2021-07-22","34214.05","4","72566.37"
16,"John Brown",NULL,NULL,"0",NULL
62,"Sarah Williams",NULL,NULL,"0",NULL
