"customerid","name","totalclaims","maxclaimamount"
80,"Anna Williams","3","23885.10"
162,"Michael Williams","6","47809.02"
132,"Jane Williams","4","41546.15"
114,"Alex Jones","3","36762.60"
115,"Jane Jones","7","49366.41"
43,"Michael Garcia","3","29777.63"
153,"David Martinez","5","39017.62"
9,"Chris Miller","4","42784.27"
95,"John Brown","3","49159.62"
19,"Chris Brown","3","40511.58"
160,"Emily Brown","4","33873.32"
165,"Laura Martinez","3","46433.55"
29,"Chris Brown","8","31753.83"
90,"Sarah Martinez","3","42231.32"
35,"Emily Jones","5","38769.55"
6,"Chris Miller","4","38975.08"
86,"Michael Smith","3","41591.11"
93,"Anna Williams","3","49739.68"
175,"Anna Martinez","4","25756.75"
50,"David Davis","3","27634.93"
14,"Michael Jones","3","46648.26"
66,"Anna Johnson","4","49225.98"
158,"Michael Miller","5","49894.11"
155,"Michael Brown","3","35759.69"
2,"Laura Jones","4","34214.05"
75,"Chris Brown","4","36762.47"
41,"Emily Rodriguez","3","44894.92"
139,"Alex Miller","6","34633.38"
25,"John Miller","3","30045.05"
141,"Sarah Garcia","3","36045.34"
145,"Emily Smith","4","10155.42"
